,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,prechgPct,chgPct
0,600066.XSHG,600066,郑州客车,XSHG,1997/5/8,26.1,26.1,30,32,26,26.1,22349800,623164670,,0.6386,0.022458922,913500000,1905300000,0,,,5.6206,1,,,
1,600066.XSHG,600066,郑州客车,XSHG,1997/5/9,26.1,26.1,26.18,26.97,25.3,26.1,5314114,138991936,,0.1518,0.022458922,913500000,1905300000,0,,,5.6206,1,,0,
2,600066.XSHG,600066,郑州客车,XSHG,1997/5/12,26.1,26.1,26.5,27.7,26.4,26.51,3051212,82117456,,0.0872,0.022458922,927850000,1935230000,0.0157,,,5.7089,1,,0,
3,600066.XSHG,600066,郑州客车,XSHG,1997/5/13,26.51,26.51,26.5,26.5,25.5,25.78,1828187,47411676,,0.0522,0.022458922,902300000,1881940000,-0.0275,,,5.5517,1,,0.0157,
4,600066.XSHG,600066,郑州客车,XSHG,1997/5/14,25.78,25.78,25.8,27.28,25.5,26.19,2613003,68951792,,0.0747,0.022458922,916650000,1911870000,0.0159,,,5.64,1,,-0.0275,
5,600066.XSHG,600066,郑州客车,XSHG,1997/5/15,26.19,26.19,26.51,27.9,26.5,27.55,3759436,102131368,,0.1074,0.022458922,964250000,2011150000,0.0519,,,5.9328,1,,0.0159,
6,600066.XSHG,600066,郑州客车,XSHG,1997/5/16,27.55,27.55,24.8,26.49,24.8,24.8,4007831,102176696,,0.1145,0.022458922,868000000,1810400000,-0.0998,,,5.3406,1,,0.0519,
7,600066.XSHG,600066,郑州客车,XSHG,1997/5/19,24.8,24.8,25.2,25.86,24.58,25.3,921252,23073288,,0.0263,0.022458922,885500000,1846900000,0.0202,,,5.4483,1,,-0.0998,
8,600066.XSHG,600066,郑州客车,XSHG,1997/5/20,25.3,25.3,25.3,25.88,25.11,25.59,878358,22301172,,0.0251,0.022458922,895650000,1868070000,0.0115,,,5.5107,1,,0.0202,
9,600066.XSHG,600066,郑州客车,XSHG,1997/5/21,25.59,25.59,25.6,25.7,24.48,25.1,1037630,25822138,,0.0296,0.022458922,878500000,1832300000,-0.0191,,,5.4052,1,,0.0115,
